Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
SIGMASHELL,"NVO, Long, 2025-11-18 (Price: 47.55)",2025-12-30 (Price: 51.22) (Today),"7.72%, 1.4 month","81.82%, Past 5 years, 11","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2026-01-29 (Price: 59.3300), 24.77% above",1.4 month,"-3.39, 62.5",No Information,No Information,No Information,No Information,No Information,22.44%/14.95%/18.7%,"28.06%, 44.04%",6.4 months/2.4 months/4.4 months,2026-08-23/2026-03-02/2026-05-28,-0.56%,9.2%,-9.76%,-0.04,0.47,48.5533/56.4419/157.4212/139.01/157.4212/201.8641/60.05,45.68/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),exit,47.6
FRACTAL TRACK,"RHHBY, Long, 2025-02-28 (Price: 41.74)",2025-12-10 (Price: 50.44) (Today),"20.84%, 9 days","85.71%, Past 24 years, 7","Monthly, was CONFIRMED on 2025-02-28",Already confirmed,"2026-01-29 (Price: 57.0200), 36.61% above",9 days,No Information,No Information,No Information,"61.8% (Price: 34.2539), 47.25% above, Upmove Bounce Back","2024-05-31 (Price: 29.2), 2024-08-31 (Price: 42.43)",No Information,29.63%/5.85%/20.48%,"5.23%, 30.29%",6 days/1 day/3 days,2033-09-22/2026-08-03/2029-09-23,5.03%,5.2%,-0.17%,0.93,0.26,46.0559/50.2884/49.68/52.46/58.6089/65.2057/No EMA 200 Target,29.82/34.4/41.5794/31.0544/No F-Track Level/No F-Track Level/41.66,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),exit,37.6771
FRACTAL TRACK,"GILD, Long, 2025-12-12 (Price: 120.4)",2025-12-29 (Price: 124.91) (Today),"3.75%, 17 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2026-01-29 (Price: 139.5500), 15.91% above",17 days,No Information,No Information,No Information,"38.2% (Price: 120.9683), 3.26% above, Upmove Bounce Back","2025-10-02 (Price: 108.46), 2025-11-20 (Price: 128.7)",No Information,17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-07-07/2026-01-21/2026-08-16,29.7%,11.0%,18.7%,2.35,0.63,130.3691/132.4159/132.54/120.895/140.4376/146.167/No EMA 200 Target,119.36/57.18/104.5806/96.4152/No F-Track Level/No F-Track Level/113.59,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),exit,122.0539
TRENDPULSE,"MA, Long, 2025-12-12 (Price: 571.93)",2025-12-29 (Price: 577.9) (Today),"1.04%, 17 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2026-01-29 (Price: 543.7300), 4.93% below",17 days,No Information,No Information,No Information,No Information,No Information,2.58% above/1.04% above/1.04% above,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-05-13/2025-12-17/2026-02-06,5.71%,7.58%,-1.87%,0.98,0.39,578.3928/588.7447/580.4/592.9033/716.5814/751.3605/No EMA 200 Target,537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,565.1511
TRENDPULSE,"MX.TO, Long, 2025-12-10 (Price: 54.01)",2025-12-29 (Price: 54.55) (Today),"1.0%, 19 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2026-01-29 (Price: 66.0100), 22.22% above",19 days,No Information,No Information,No Information,No Information,No Information,0.76% above/1.0% above/1.0% above,8.52%/0.48%/4.54%,"6.93%, 41.4%",3.6 months/6 days/1.1 month,2026-05-15/2025-12-18/2026-01-26,15.61%,-0.38%,15.99%,1.09,0.16,60.0537/56.4621/54.09/73.435/104.8718/122.9238/No EMA 200 Target,48.06/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/48.98,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,53.5448
TRENDPULSE,"BAC, Long, 2025-10-26 (Price: 52.57)",2025-12-22 (Price: 55.88) (Today),"6.3%, 1.9 month","76.47%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-29 (Price: 53.0800), 0.97% above",1.9 month,No Information,No Information,No Information,No Information,No Information,8.97% above/7.96% above/6.3% above,16.63%/0.1%/7.69%,"5.06%, 34.47%",8.4 months/1.2 month/3.2 months,2026-10-26/2025-12-17/2026-03-14,6.48%,6.95%,-0.47%,0.61,0.35,55.1091/56.6126/55.91/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,48.65/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.68,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,51.1741
TRENDPULSE,"BAC, Long, 2025-09-28 (Price: 52.21)",2025-12-22 (Price: 55.88) (Today),"7.03%, 2.8 months","76.47%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-09-26",Already confirmed,"2026-01-29 (Price: 53.0800), 1.67% above",2.8 months,No Information,No Information,No Information,No Information,No Information,10.48% above/7.77% above/7.03% above,16.63%/0.1%/7.69%,"5.06%, 34.47%",8.4 months/1.2 month/3.2 months,2026-09-28/2025-11-19/2026-02-14,6.48%,6.95%,-0.47%,0.61,0.35,54.7317/56.2249/55.62/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,34.39/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.08,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,51.4924
TRENDPULSE,"BAC, Long, 2025-09-21 (Price: 52.25)",2025-12-22 (Price: 55.88) (Today),"6.95%, 3.1 months","76.47%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-29 (Price: 53.0800), 1.59% above",3.1 months,No Information,No Information,No Information,No Information,No Information,10.48% above/8.72% above/6.95% above,16.63%/0.1%/7.69%,"5.06%, 34.47%",8.4 months/1.2 month/3.2 months,2026-09-21/2025-11-12/2026-02-07,6.48%,6.95%,-0.47%,0.61,0.35,54.7737/56.268/56.53/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,34.39/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/44.96,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,50.5871
TRENDPULSE,"DIA, Long, 2025-10-26 (Price: 472.21)",2025-12-22 (Price: 483.46) (Today),"2.38%, 1.9 month","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-29 (Price: 490.2100), 3.81% above",1.9 month,No Information,No Information,No Information,No Information,No Information,4.69% above/2.38% above/2.38% above,6.32%/1.23%/3.68%,"-0.0%, 14.86%",9.8 months/1.6 month/5.1 months,2026-12-25/2026-01-03/2026-06-04,6.77%,6.84%,-0.07%,2.38,0.43,490.8623/489.5873/546.77/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/435.91,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,461.6944
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",2025-12-22 (Price: 37.89) (Today),"1.31%, 1.3 year","100.0%, Past 10 years, 15","Weekly, is CONFIRMED on 2024-09-06",Already confirmed,"2026-01-30 (Price: 39.0900), 4.52% above",1.3 year,No Information,No Information,No Information,No Information,No Information,7.03% above/1.31% above/1.31% above,17.69%/6.92%/9.5%,"-0.0%, 27.7%",3.3 months/1.2 month/2.4 months,2025-01-29/2024-10-30/2024-12-21,12.27%,12.4%,-0.13%,1.68,0.68,43.7879/40.953/45.55/No Horizontal Resistance/40.9296/48.5677/No EMA 200 Target,23.8/22.675/30.9793/26.1935/No F-Track Level/No F-Track Level/27.55,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,34.6434
TRENDPULSE,"IHI, Long, 2025-02-02 (Price: 63.81)",2025-12-22 (Price: 63.1) (Today),"-1.11%, 10.8 months","100.0%, Past 10 years, 34","Weekly, is CONFIRMED on 2025-01-31",Already confirmed,"2026-01-29 (Price: 59.5000), 6.75% below",10.8 months,No Information,No Information,No Information,No Information,No Information,2.04% above/1.11% below/1.11% below,8.09%/1.52%/4.37%,"-0.0%, 28.87%",10.7 months/28 days/4 months,2026-05-12/2025-03-14/2025-07-25,10.39%,9.12%,1.27%,2.0,0.59,68.2512/66.5985/67.75/66.92/68.9264/76.3906/No EMA 200 Target,58.81/46.8983/56.0899/46.1919/No F-Track Level/No F-Track Level/57.97,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,63.5588
TRENDPULSE,"^NDX, Long, 2025-09-21 (Price: 24626.25)",2025-12-22 (Price: 25461.7012) (Today),"3.39%, 3.1 months","100.0%, Past 10 years, 9","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-29 (Price: 25884.2949), 5.11% above",3.1 months,No Information,No Information,No Information,No Information,No Information,5.68% above/3.39% above/3.39% above,3.95%/1.69%/2.62%,"-0.0%, 35.49%",4.4 months/1.2 month/2.9 months,2026-03-31/2025-11-12/2026-01-25,3.75%,13.42%,-9.67%,0.85,0.8,26561.8733/25271.4578/27592.28/No Horizontal Resistance/25025.4383/33965.62/No EMA 200 Target,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/21525.56,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,24178.5996
TRENDPULSE,"JPM, Long, 2025-11-10 (Price: 316.89)",2025-12-26 (Price: 327.91) (Today),"3.48%, 1.5 month","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2026-01-29 (Price: 306.4200), 3.30% below",1.5 month,No Information,No Information,No Information,No Information,No Information,4.36% above/3.48% above/3.48% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,2026-04-02/2025-11-18/2025-12-06,17.37%,9.85%,7.52%,1.54,0.5,320.4075/327.0939/403.26/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/276.27,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,313.5855
TRENDPULSE,"JPM, Long, 2025-09-19 (Price: 314.78)",2025-12-26 (Price: 327.91) (Today),"4.17%, 3.3 months","100.0%, Past 4 years, 31","Daily, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-29 (Price: 306.4200), 2.66% below",3.3 months,No Information,No Information,No Information,No Information,No Information,4.17% above/4.17% above/4.17% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,2026-02-09/2025-09-27/2025-10-15,17.37%,9.85%,7.52%,1.54,0.5,318.2741/324.9159/409.54/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,292.91/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/265.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,310.6813
TRENDPULSE,"MAR, Long, 2025-12-03 (Price: 306.65)",2025-12-26 (Price: 315.58) (Today),"2.91%, 23 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2026-01-29 (Price: 319.7700), 4.28% above",23 days,No Information,No Information,No Information,No Information,No Information,2.91% above/2.91% above/2.91% above,7.63%/1.46%/4.32%,"0%, 12.09%",2.9 months/6 days/1.3 month,2026-04-08/2025-12-11/2026-01-28,22.14%,9.08%,13.06%,1.87,0.45,333.8192/319.8973/346.41/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,282.38/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/263.65,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,303.52
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-12-15 (Price: 60212.8008)",2025-12-26 (Price: 60314.4492) (Today),"0.17%, 11 days","84.21%, Past 4 years, 38","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2026-01-29 (Price: 58541.0000), 2.78% below",11 days,No Information,No Information,No Information,No Information,No Information,0.05% above/0.17% above/0.17% above,4.39%/0.64%/2.34%,"10.85%, 21.42%",3.3 months/6 days/22 days,2026-05-07/2025-12-23/2026-01-15,11.07%,16.35%,-5.28%,0.22,1.13,63470.3133/61621.7803/67341.34/No Horizontal Resistance/69983.5191/76335.2565/No EMA 200 Target,59007.75/24894.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/56770.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,60209.8516
TRENDPULSE,"WPM, Long, 2025-12-19 (Price: 119.7)",2025-12-26 (Price: 124.22) (Today),"3.78%, 7 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2026-01-29 (Price: 152.7000), 27.57% above",7 days,No Information,No Information,No Information,No Information,No Information,7.6% above/3.78% above/3.78% above,15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-02/2025-12-24/2026-02-13,22.59%,17.13%,5.46%,1.09,0.81,128.9887/127.2411/134.41/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,104.96/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/93.73,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,115.73
TRENDPULSE,"SBUX, Long, 2025-09-02 (Price: 89.78)",2025-12-24 (Price: 84.57) (Today),"-5.8%, 3.8 months","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-09-02",Already confirmed,"2026-01-29 (Price: 93.8800), 4.57% above",3.8 months,No Information,No Information,No Information,No Information,No Information,5.8% below/5.8% below/5.8% below,8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-01-19/2025-09-10/2025-10-24,10.39%,-0.2%,10.59%,0.88,0.03,92.4824/93.9099/94.81/117.438/142.4098/150.3462/94.55,85.81/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,87.21
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",2025-12-24 (Price: 3319.0) (Today),"2.5%, 19 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-05",Already confirmed,"2026-01-30 (Price: 3105.6001), 4.09% below",19 days,No Information,No Information,No Information,No Information,No Information,2.78% above/2.5% above/2.5% above,8.18%/1.59%/3.14%,"12.98%, 25.8%",4.4 months/6 days/1 month,2026-06-14/2025-12-13/2026-01-17,14.5%,5.53%,8.97%,0.53,0.28,3389.4239/3339.8795/3396.9/4543.575/5637.7577/6110.9256/3279.96,2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,3172.3305
TRENDPULSE,"WPM.TO, Long, 2025-12-18 (Price: 159.04)",2025-12-24 (Price: 166.29) (Today),"4.56%, 6 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2026-01-29 (Price: 205.4300), 29.17% above",6 days,No Information,No Information,No Information,No Information,No Information,4.56% above/4.56% above/4.56% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,157.92
FRACTAL TRACK,"SBUX, Long, 2025-12-12 (Price: 85.35)",2025-12-23 (Price: 83.86),"-1.75%, 11 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2026-01-29 (Price: 93.8800), 9.99% above",12 days,No Information,No Information,No Information,"50% (Price: 83.525), 1.25% above, Upmove Bounce Back","2025-11-04 (Price: 77.99), 2025-11-12 (Price: 89.06)",No Information,18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-07-07/2026-01-28/2027-02-15,17.25%,-2.4%,19.65%,1.15,-0.1,85.0001/94.4654/91.99/117.438/142.4098/150.3462/87.65,82.28/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),exit,85.11
SIGMASHELL,"SBUX, Long, 2025-05-01 (Price: 82.01)",2025-12-23 (Price: 83.86) (Today),"2.26%, 7.9 months","100.0%, Past 5 years, 4","Daily, was CONFIRMED on 2025-05-01",Already confirmed,"2026-01-29 (Price: 93.8800), 14.47% above",7.9 months,"-8.19, 75.0",No Information,No Information,No Information,No Information,No Information,29.12%/1.22%/12.6%,"0%, 25.49%",7.6 months/2.9 months/4.6 months,2026-03-27/2025-09-04/2025-11-16,30.95%,12.15%,18.8%,1.02,0.58,83.0515/92.3433/142.4098/117.438/142.4098/150.3462/87.73,80.05/71.47/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),exit,79.0494
FRACTAL TRACK,"GLD, Long, 2025-10-30 (Price: 370.13)",2025-12-22 (Price: 408.23) (Today),"10.29%, 1.8 month","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2025-10-30",Already confirmed,"2026-01-29 (Price: 495.9000), 33.98% above",1.8 month,No Information,No Information,No Information,"23.66% (Price: 363.7476), 12.23% above, Upmove Bounce Back","2024-11-14 (Price: 236.13), 2025-10-20 (Price: 403.3)",No Information,11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-09-06/2025-12-29/2026-06-12,26.16%,11.89%,14.27%,2.41,0.93,398.4449/403.1456/470.43/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,363.0/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/328.08,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),exit,365.09
DELTADRIFT,"KWEB, Long, 2025-11-24 (Price: 37.52)",2025-12-22 (Price: 34.76) (Today),"-7.36%, 28 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2026-01-29 (Price: 36.2900), 3.28% below",28 days,No Information,No Information,No Information,No Information,No Information,No Information,19.05%/4.1%/7.08%,"18.75%, 18.75%",1.6 month/2 days/14 days,2026-02-01/2025-11-26/2025-12-14,3.5%,-1.91%,5.41%,0.03,0.1,38.7281/40.1764/39.45/54.865/112.1402/127.8094/No EMA 200 Target,36.23/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/36.43,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),exit,35.1298
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",2025-12-17 (Price: 43.95) (Today),"-15.01%, 1.2 year","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2024-10-11",Already confirmed,"2026-01-29 (Price: 51.0200), 1.33% below",1.2 year,No Information,No Information,No Information,No Information,No Information,8.86% below/15.01% below/15.01% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2025-03-14/2024-11-22/2024-12-30,2.78%,3.8%,-1.02%,0.61,0.23,52.7907/55.3711/51.74/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,45.5471
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",2025-12-17 (Price: 43.95) (Today),"-20.32%, 1.7 year","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2024-04-05",Already confirmed,"2026-01-29 (Price: 51.0200), 7.51% below",1.7 year,No Information,No Information,No Information,No Information,No Information,12.79% below/20.32% below/20.32% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2024-09-06/2024-05-17/2024-06-24,2.78%,3.8%,-1.02%,0.61,0.23,56.3128/59.0653/64.58/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,47.8092
TRENDPULSE,"RHHBY, Long, 2025-10-12 (Price: 45.66)",2025-12-17 (Price: 49.61) (Today),"8.65%, 2.2 months","87.5%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2026-01-29 (Price: 57.0200), 24.88% above",2.2 months,No Information,No Information,No Information,No Information,No Information,9.51% above/9.47% above/8.65% above,18.53%/3.11%/9.28%,"21.59%, 44.18%",1.2 year/1.2 month/4.5 months,2027-06-29/2025-12-03/2026-04-25,3.03%,4.77%,-1.74%,0.42,0.23,47.3996/49.8972/50.49/52.46/58.6089/65.2057/No EMA 200 Target,38.23/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/40.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,45.27
TRENDPULSE,"SUM.NZ, Long, 2024-11-24 (Price: 13.1)",2025-12-17 (Price: 12.15) (Today),"-7.25%, 1.1 year","90.91%, Past 10 years, 11","Weekly, is CONFIRMED on 2024-11-22",Already confirmed,"2026-01-30 (Price: 11.3600), 13.28% below",1.1 year,No Information,No Information,No Information,No Information,No Information,3.19% below/7.25% below/7.25% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,2025-02-14/2025-01-03/2025-01-23,-0.02%,11.46%,-11.48%,0.54,0.63,14.4689/13.9554/14.24/No Horizontal Resistance/19.8479/26.5969/No EMA 200 Target,9.4/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.11,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,12.5275
TRENDPULSE,"ABNB, Long, 2025-08-29 (Price: 130.53)",2025-12-19 (Price: 135.28) (Today),"3.64%, 3.7 months","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-08-29",Already confirmed,"2026-01-29 (Price: 131.7700), 0.95% above",3.7 months,No Information,No Information,No Information,No Information,No Information,3.69% above/3.64% above/3.64% above,13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-01-15/2025-09-06/2025-10-05,10.28%,-2.98%,13.26%,0.22,0.05,129.8382/139.8629/137.96/178.025/223.5359/232.9937/131.47,118.3/99.795/124.5998/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),exit,129.92
OSCILLATOR DELTA,"INFY, Long, 2025-10-20 (Price: 16.91)",2025-12-19 (Price: 20.22) (Today),"19.57%, 2 months","70.83%, Past 6 years, 24","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2026-01-29 (Price: 17.7500), 4.97% above",2 months,No Information,No Information,No Information,No Information,No Information,No Information,13.6%/5.09%/8.19%,"14.44%, 21.07%",3.3 months/8 days/1.4 month,2026-03-12/2025-10-31/2025-12-19,8.71%,6.68%,2.03%,0.2,0.34,18.1833/18.2949/19.45/23.796/31.8515/41.1179/17.52,No Recent Minima/16.074/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),exit,16.1274
